wav_filename,wav_filesize,transcript
/content/generated_data/train/TLP_0000.wav,353324,a boa constrictor is a very dangerous creature and an elephant is very cumbersome
/content/generated_data/train/TLP_0001.wav,132140,where i live everything is very small
/content/generated_data/train/TLP_0003.wav,52268,draw me a sheep
/content/generated_data/train/TLP_0004.wav,82988,so then i made a drawing
/content/generated_data/train/TLP_0006.wav,107564,this sheep is already very sickly
/content/generated_data/train/TLP_0008.wav,87596,so i made another drawing
/content/generated_data/train/TLP_0009.wav,162860,my friend smiled gently and indulgently
/content/generated_data/train/TLP_0010.wav,175148,you see yourself he said that this is not a sheep
/content/generated_data/train/TLP_0011.wav,59948,this is a ram
/content/generated_data/train/TLP_0012.wav,58412,it has horns
